Community,Community Area
Rogers Park,1
West Ridge,2
Uptown,3
Lincoln Square,4
North Center,5
Lake View,6
Lincoln Park,7
Near North Side,8
Edison Park,9
Norwood Park,10
Jefferson Park,11
Forest Glen,12
North Park,13
Albany Park,14
Portage Park,15
Irving Park,16
Dunning,17
Montclare,18
Belmont Cragin,19
Hermosa,20
Avondale,21
Logan Square,22
Humboldt Park,23
West Town,24
Austin,25
West Garfield Park,26
East Garfield Park,27
Near West Side,28
North Lawndale,29
South Lawndale,30
Lower West Side,31
The Loop,32
Near South Side,33
Armour Square,34
Douglas,35
Oakland,36
Fuller Park,37
Grand Boulevard,38
Kenwood,39
Washington Park,40
Hyde Park,41
Woodlawn,42
South Shore,43
Chatham,44
Avalon Park,45
South Chicago,46
Burnside,47
Calumet Heights,48
Roseland,49
Pullman,50
South Deering,51
East Side,52
West Pullman,53
Riverdale,54
Hegewisch,55
Garfield Ridge,56
Archer Heights,57
Brighton Park,58
McKinley Park,59
Bridgeport,60
New City,61
West Elsdon,62
Gage Park,63
Clearing,64
West Lawn,65
Chicago Lawn,66
West Englewood,67
Englewood,68
Greater Grand Crossing,69
Ashburn,70
Auburn Gresham,71
Beverly,72
Washington Heights,73
Mount Greenwood,74
Morgan Park,75
O'Hare,76
Edgewater,77
